ethn..sa_id,ethn..total_persons,ethn..ethnic_group_e_s_w_white_unit_persons,ethn..ethnic_group_e_s_w_white_gypsy_or_irish_traveller_unit_persons,ethn..ethnic_group_e_s_w_mixed_multiple_ethnic_group_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_indian_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_pakistani_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_bangladeshi_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_chinese_unit_persons,ethn..ethnic_group_e_s_w_asian_asian_british_other_asian_unit_persons,ethn..ethnic_group_e_s_w_black_african_caribbean_black_british_unit_persons,ethn..ethnic_group_e_s_w_other_ethnic_group_any_other_ethnic_group_unit_persons,ethn..white_or_white_british,ethn..black_or_black_british,ethn..asian_or_asian_british,ethn..mixed_multiple_ethnicity,ethn..other_ethnicity
S00093528,101,100,0,0,0,0,0,1,0,0,0,100,0,1,0,0
S00093529,156,153,0,1,1,1,0,0,0,0,0,153,0,2,1,0
S00093530,113,110,0,2,1,0,0,0,0,0,0,110,0,1,2,0
S00093531,108,108,0,0,0,0,0,0,0,0,0,108,0,0,0,0
S00093532,96,96,0,0,0,0,0,0,0,0,0,96,0,0,0,0
S00093533,147,143,0,3,0,0,0,1,0,0,0,143,0,1,3,0
S00093573,82,82,0,0,0,0,0,0,0,0,0,82,0,0,0,0
S00093574,94,94,0,0,0,0,0,0,0,0,0,94,0,0,0,0
S00093575,121,119,0,2,0,0,0,0,0,0,0,119,0,0,2,0
S00093576,81,79,2,0,0,0,0,0,0,0,0,81,0,0,0,0
S00093577,99,99,0,0,0,0,0,0,0,0,0,99,0,0,0,0
S00093578,72,72,0,0,0,0,0,0,0,0,0,72,0,0,0,0
S00093579,81,79,0,0,0,1,0,1,0,0,0,79,0,2,0,0
S00093580,135,132,0,1,0,0,0,0,2,0,0,132,0,2,1,0
S00093581,88,87,0,1,0,0,0,0,0,0,0,87,0,0,1,0
S00093582,126,125,0,0,0,0,0,0,0,1,0,125,1,0,0,0
S00093583,86,86,0,0,0,0,0,0,0,0,0,86,0,0,0,0
S00093584,59,59,0,0,0,0,0,0,0,0,0,59,0,0,0,0
S00093585,75,73,0,1,0,0,0,0,1,0,0,73,0,1,1,0
S00093586,108,103,2,2,0,0,0,0,0,1,0,105,1,0,2,0
S00093587,122,120,0,0,0,0,0,0,0,0,2,120,0,0,0,2
S00093588,94,85,2,0,4,0,0,2,1,0,0,87,0,7,0,0
S00093589,74,70,0,2,0,0,0,2,0,0,0,70,0,2,2,0
S00093590,108,104,2,2,0,0,0,0,0,0,0,106,0,0,2,0
S00093591,133,131,1,0,0,0,0,0,0,1,0,132,1,0,0,0
S00093592,104,101,0,1,0,0,0,1,1,0,0,101,0,2,1,0
S00093593,74,74,0,0,0,0,0,0,0,0,0,74,0,0,0,0
S00093594,148,144,2,0,0,0,0,1,0,0,1,146,0,1,0,1
S00093595,147,146,1,0,0,0,0,0,0,0,0,147,0,0,0,0
S00093596,118,115,0,2,0,0,0,0,0,1,0,115,1,0,2,0
S00093597,125,125,0,0,0,0,0,0,0,0,0,125,0,0,0,0
S00093598,139,139,0,0,0,0,0,0,0,0,0,139,0,0,0,0
S00093599,104,98,1,2,0,0,0,2,0,1,0,99,1,2,2,0
S00093600,65,64,0,1,0,0,0,0,0,0,0,64,0,0,1,0
S00093601,80,71,0,0,1,0,0,4,0,4,0,71,4,5,0,0
