health..sa_id,health..total_persons,health..very_good_health,health..good_health,health..fair_health,health..bad_health,health..very_bad_health
N00001913,280,132,106,33,8,1
N00001914,303,153,101,35,11,3
N00001915,651,360,213,61,16,1
N00001916,267,125,94,37,9,2
N00001917,312,154,100,48,6,4
N00001918,249,118,85,34,9,3
N00001919,324,145,117,47,11,4
N00001920,327,142,113,56,11,5
N00001921,272,92,87,65,20,8
N00001922,300,113,107,61,12,7
N00001923,236,87,77,43,20,9
N00001924,367,157,141,47,13,9
N00001925,273,86,105,51,23,8
N00001926,320,112,121,65,18,4
N00001927,225,88,75,46,14,2
N00001928,232,69,88,49,20,6
N00001929,440,228,138,62,8,4
N00001930,249,105,88,40,14,2
N00001931,267,94,96,55,16,6
N00001932,278,122,109,39,7,1
N00001933,292,125,113,41,13,0
N00001934,265,97,96,60,10,2
N00001935,350,196,106,37,10,1
N00001936,304,157,97,39,10,1
N00001937,304,146,93,55,9,1
N00001938,311,118,99,60,25,9
N00001939,278,112,101,48,14,3
N00001940,359,203,106,38,11,1
N00001941,284,130,106,39,8,1
N00002170,313,125,96,66,19,7
N00002171,531,299,153,66,9,4
N00002172,630,363,174,68,21,4
N00002173,476,259,150,51,14,2
N00002174,538,248,180,78,21,11
N00002175,742,414,227,81,17,3
N00002176,570,324,166,53,22,5
N00002177,617,354,166,79,16,2
N00002178,514,260,152,73,24,5
N00002203,1147,583,364,159,34,7
N00002204,431,207,152,62,8,2
N00002205,805,501,223,66,13,2
N00002206,325,170,105,35,11,4
N00002207,299,128,97,47,25,2
N00002208,334,140,125,52,12,5
N00002209,361,173,117,46,18,7
N00002210,417,241,101,55,17,3
N00002221,448,154,150,121,18,5
N00002222,282,85,119,55,21,2
N00002223,138,63,40,27,7,1
N00002224,198,78,70,35,13,2
N00002225,331,92,105,98,34,2
N00002226,225,74,78,51,15,7
N00002227,249,88,86,54,15,6
N00002228,260,114,83,50,12,1
N00002236,611,179,195,143,70,24
N00002237,340,163,112,42,23,0
N00002238,274,125,95,38,12,4
N00002239,242,79,74,50,30,9
N00002240,329,156,96,51,23,3
