rel..oa_id,rel..proportion_of_oa_within_co_m_boundary,rel..total_persons,rel..christian_church_of_scotland,rel..christian_roman_catholic,rel..christian_other_christian,rel..buddhist,rel..hindu,rel..jewish,rel..muslim,rel..sikh,rel..other_religion,rel..no_religion,rel..religion_not_stated
S00110718,0.99999999999653499,162,39,18,9,0,0,0,0,0,1,87,8
S00110719,1.0000000000106499,95,28,5,4,0,0,0,0,0,0,48,10
S00110720,1.0000000000040401,100,27,10,3,0,0,0,0,0,0,50,10
S00110721,1.00000000000169,129,30,14,3,0,0,0,0,0,0,77,5
S00110722,1.0000000000078699,86,18,11,6,0,0,0,0,0,0,47,4
S00110723,0.99999999997177902,153,29,10,3,0,0,0,3,0,1,101,6
S00110724,1.00000000000081,128,46,16,2,0,0,0,0,8,0,47,9
S00110725,0.99999999999795097,92,25,5,3,0,0,0,0,0,0,49,10
S00110726,0.99999999999834999,115,23,9,7,1,0,0,0,0,0,67,8
S00110727,0.999999999998755,115,33,14,2,0,0,0,0,0,0,59,7
S00110728,1.0000000000039,103,28,8,1,0,0,0,0,0,1,50,15
S00110729,0.99999999999843403,83,17,8,5,1,0,0,0,0,0,48,4
S00110730,1.0000000001799401,136,37,14,9,0,0,0,0,0,0,65,11
S00110731,1.00000000012478,106,15,10,4,0,0,0,0,0,0,68,9
S00110732,1.00000000002556,139,40,20,8,0,0,0,0,0,0,61,10
S00110733,1.0000000000070499,59,11,16,3,0,0,0,0,0,1,26,2
S00110734,1.00000000003332,102,17,12,4,0,0,0,0,0,0,62,7
S00110735,0.99999999999855904,144,37,15,3,0,0,0,0,0,4,73,12
S00110736,0.99999999999951295,135,30,14,6,0,0,0,0,0,0,75,10
S00110737,1.0000000003234499,148,32,22,7,0,0,0,0,0,0,81,6
S00110738,0.99999999999259803,106,15,13,5,0,0,0,0,0,0,65,8
S00110739,0.99999999998047595,120,18,15,8,0,0,0,1,0,0,71,7
S00110740,0.99999999980288701,160,31,21,6,0,0,0,4,0,0,91,7
S00110741,1.0000000006166101,97,29,12,3,0,0,0,0,0,2,44,7
S00110742,0.99999999999018496,108,27,6,4,1,0,0,0,0,1,67,2
S00110743,1.0000000000104301,103,9,9,7,0,0,0,7,0,0,61,10
S00110744,1.0000000000168201,119,26,16,8,0,0,0,1,0,1,61,6
S00110745,0.99999999995407196,101,11,8,4,0,0,0,1,0,0,67,10
S00110746,0.99999999995128597,84,39,9,7,0,0,0,6,0,1,20,2
S00110747,1.00000000000531,83,15,10,2,1,0,0,1,0,0,42,12
S00110748,1.0000000000003899,113,29,6,4,1,0,0,0,0,0,61,12
S00110749,0.99999999999819,107,41,14,4,0,0,0,0,0,0,47,1
S00110750,1.00000000002163,92,32,6,4,0,0,0,0,0,0,41,9
S00110751,1.0000000000005,217,43,14,16,0,0,0,1,0,0,134,9
S00110752,0.99999999998164901,85,43,7,3,0,0,0,0,0,1,27,4
S00110753,1.00000000000884,79,38,0,1,0,0,0,0,0,0,35,5
S00110754,1.00000000000219,95,31,11,8,0,0,0,0,0,0,38,7
S00110755,0.99999999992418898,80,47,2,0,0,0,0,0,0,1,27,3
S00110756,1.0000000000014,80,42,2,2,0,0,0,0,0,0,32,2
S00110757,1.0000000000175999,89,23,11,0,1,0,0,0,0,0,47,7
S00110758,0.99999999997796996,117,37,2,6,0,1,0,0,0,0,57,14
